sample,library,identity,Nb,Ti,V,Zr,Nb+Ti,V+Zr,Nb+Ti_over_V+Zr,V_Zr,Nb_Ti,Ti_V,Nb_Zr,Ti_Zr,Nb_V,Ti_V_over_Nb_Zr,Ti_Zr_over_Nb_V,Nb_Ti_over_V_Zr,Nb_over_V_Zr,LogNb_Ti_over_V_Zr,logNb_over_V_Zr,Log_Nb_Ti,Log_Ti_V,Log_Nb_Zr,LogTi_Zr_over_Nb_V,Nb_over_Nb+Zr,Zr_over_Nb+Zr,LogNb_over_Nb+Zr,LogZr_over_Nb+Zr,Phase,Microstructure,H,Er,Mixing_Enthalpy,PDAS,r_avg,delta_pct,Smix_J_over_mol·K,VEC,Estimated_Density
67,2,E1 (25),20.4,21.4,23.5,34.6,41.8,58.1,0.719449225,0.679190751,0.953271028,0.910638298,0.589595376,0.61849711,0.868085106,1.544513976,0.712484416,1.403539471,30.03574468,0.33899724,3.402388162,-0.047856021,-0.093609499,-0.528318781,0.434709282,0.370909091,0.629090909,-0.991798284,-0.463479503,BCC,dendrites,4.41333,79.65667,0.07073,2.09,148.092,6.646326104,11.32168732,4.435,6.445992209
68,2,E2 (26),21.1,30.1,20.4,28.5,51.2,48.9,1.047034765,0.715789474,0.700996678,1.475490196,0.740350877,1.056140351,1.034313725,1.992960691,1.021102519,0.979333594,29.47794118,-0.020882945,3.383642227,-0.355252131,0.388990271,-0.300631047,0.689621318,0.425403226,0.574596774,-0.854717793,-0.554086746,BCC,dendrites,5.53,103.43333,0.05322,1.7,147.989,6.12513466,11.40452068,4.419,6.302499068
69,2,E3 (27),25.6,31.4,23,20,57,43,1.325581395,1.15,0.815286624,1.365217391,1.28,1.57,1.113043478,1.066576087,1.410546875,0.708944891,22.26086957,-0.343977484,3.102830409,-0.204215541,0.311313677,0.246860078,0.064453599,0.561403509,0.438596491,-0.577315365,-0.824175443,BCC,dendrites,4.97,94.93667,0.04806,0.96,146.354,5.818223697,11.41062197,4.486,6.354097681
70,2,E4 (28),23.7,41.2,13.1,22,64.9,35.1,1.849002849,0.595454545,0.575242718,3.145038168,1.077272727,1.872727273,1.809160305,2.919444713,1.035136172,0.966056474,39.80152672,-0.034532985,3.683905271,-0.552963208,1.145826026,0.074432595,1.071393431,0.518599562,0.481400438,-0.65662325,-0.731055845,BCC,dendrites,5.88667,106.94,0.02846,0.5,147.92,5.179974986,10.85737312,4.368,6.162714513
71,2,E5 (29),25.3,43.7,14.3,16.8,69,31.1,2.218649518,0.851190476,0.578947368,3.055944056,1.505952381,2.601190476,1.769230769,2.029243484,1.470238095,0.680161943,29.72307692,-0.385424357,3.391923745,-0.546543706,1.117088565,0.409425509,0.707663056,0.600950119,0.399049881,-0.509243345,-0.918668854,BCC,dendrites,5.88667,110.72333,0.02497,0.54,147.219,4.937080008,10.70237905,4.4,6.136515813
72,2,E6 (30),26.2,42,13.3,18.6,68.2,31.9,2.137931034,0.715053763,0.623809524,3.157894737,1.408602151,2.258064516,1.969924812,2.241864202,1.146269392,0.872395274,36.6406015,-0.136512662,3.601156956,-0.471910208,1.149905583,0.34259783,0.807307753,0.584821429,0.415178571,-0.536448729,-0.879046559,BCC,dendrites,6.24667,111.91667,0.02562,0.48,147.574,4.980096185,10.77863941,4.399,6.193713173
73,2,F1  (31),20.9,38.3,17.3,23.5,59.2,40.8,1.450980392,0.736170213,0.545691906,2.213872832,0.889361702,1.629787234,1.208092486,2.48928285,1.349058332,0.741257791,28.39017341,-0.299406818,3.346043079,-0.605700737,0.794743395,-0.117251262,0.911994657,0.470720721,0.529279279,-0.75349031,-0.636239048,BCC,dendrites,4.6525,93.4475,0.03845,1.78,147.597,5.619933524,11.12902045,4.382,6.147752284
74,2,F2 (32),21.4,29.3,22,27.3,50.7,49.3,1.028397566,0.805860806,0.730375427,1.331818182,0.783882784,1.073260073,0.972727273,1.699001699,1.103351477,0.906329507,26.55545455,-0.098352345,3.279235171,-0.314196594,0.286545063,-0.24349578,0.530040843,0.439425051,0.560574949,-0.822288108,-0.578792328,BCC,dendrites,5.48333,102.56,0.0554,2.09,147.475,6.188966145,11.44972468,4.434,6.317274062
75,2,F3 (33),27,32.5,21.2,19.4,59.5,40.6,1.465517241,1.092783505,0.830769231,1.533018868,1.391752577,1.675257732,1.273584906,1.101502446,1.315387553,0.760232221,24.70754717,-0.274131339,3.20710875,-0.185403223,0.427238908,0.3305638,0.096675108,0.581896552,0.418103448,-0.541462593,-0.872026393,BCC,dendrites,4.51667,85.18667,0.04412,1.02,146.643,5.650207222,11.35513772,4.486,6.367333543
76,2,F4 (34),26.1,43.9,7.2,22.8,70,30,2.333333333,0.315789474,0.59453303,6.097222222,1.144736842,1.925438596,3.625,5.326309068,0.531155475,1.882687927,82.65,0.632700504,4.414614824,-0.519979006,1.807833294,0.135174778,1.672658516,0.533742331,0.466257669,-0.627842082,-0.763016861,BCC,dendrites,6.04,109.155,0.01645,0.69,148.767,4.649252458,10.29696754,4.333,6.182098038
77,2,F5 (35),24.6,46.8,6.5,22.1,71.4,28.6,2.496503497,0.294117647,0.525641026,7.2,1.113122172,2.117647059,3.784615385,6.468292683,0.55954089,1.787179487,83.64,0.580638672,4.426521875,-0.64313676,1.974081026,0.107168834,1.866912192,0.526766595,0.473233405,-0.640997722,-0.748166556,BCC,dendrites,4.86667,97.32333,0.01383,0.59,148.782,4.528964761,10.0735037,4.311,6.099397272
78,2,F6 (36),29.2,48.3,5.7,16.9,77.5,22.6,3.42920354,0.337278107,0.604554865,8.473684211,1.727810651,2.857988166,5.122807018,4.904289834,0.55789495,1.792452145,86.5754386,0.583584596,4.461016156,-0.503262851,2.136965386,0.546855087,1.590110298,0.63340564,0.36659436,-0.456644241,-1.003499328,BCC,dendrites,4.87333,95.72,0.00822,0.86,148.311,4.109906562,9.766423169,4.353,6.159793788
